pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,evidence_row_count,n_effects,ddid_effects_all,n_paper_labels,paper_labels_all,relationship_sources,pmid_count,doi_count,has_effect_conflict,has_label_conflict
D00001__F00024,D00001,Polyethylene Glycol,F00024,Milk,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00001__F00103,D00001,Polyethylene Glycol,F00103,Alcohol,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00002__F00104,D00002,Betaine,F00104,Meal,Food,1,1,No Effect,1,No known interaction in selected source,Dietary Effect-Package Insert,1,1,0,0
D00003__F00104,D00003,Activated Charcoal,F00104,Meal,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00004__H01087,D00004,Coumarin,H01087,Melilotus Officinalis,Herb,1,1,Harmful,1,Avoid,HFDI,1,1,0,0
D00005__F00116,D00005,Salicylic Acid,F00116,Standard Meal,Food,1,1,No Effect,1,No known interaction in selected source,Dietary effects,1,1,0,0
D00006__F00104,D00006,Bupropion,F00104,Meal,Food,2,2,No Effect; Possible,2,No known interaction in selected source; Use caution,Dietary Effect-Package Insert; FDI-Package Insert,2,2,1,1
D00006__F00232,D00006,Bupropion,F00232,Sweet basil,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00006__H00505,D00006,Bupropion,H00505,Semen Raphani,Herb,2,1,Possible,1,Use caution,HFDI,2,2,0,0
D00006__H01086,D00006,Bupropion,H01086,Rhodiola Rosea,Herb,2,1,Possible,1,Use caution,HFDI,2,2,0,0
D00006__H01102,D00006,Bupropion,H01102,Ginkgo Biloba,Herb,1,1,No Effect,1,No known interaction in selected source,HFDI,1,1,0,0
D00007__F00104,D00007,Aminocaproic Acid,F00104,Meal,Food,2,1,No Effect,1,No known interaction in selected source,Dietary Effect-Package Insert,2,2,0,0
D00008__F00103,D00008,Lindane,F00103,Alcohol,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00009__F00027,D00009,Ardeparin,F00027,Garlic,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00009__F00033,D00009,Ardeparin,F00033,Ginger,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00009__F00053,D00009,Ardeparin,F00053,Bilberry,Food,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00009__H00182,D00009,Ardeparin,H00182,DAN SHEN,Herb,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00009__H01102,D00009,Ardeparin,H01102,Ginkgo Biloba,Herb,1,1,Possible,1,Use caution,Drugbank,1,1,0,0
D00010__F00033,D00010,Melatonin,F00033,Ginger,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__F00043,D00010,Melatonin,F00043,Jujube,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__F00103,D00010,Melatonin,F00103,Alcohol,Food,1,1,Negative,1,Use caution,FDI-Package Insert,1,1,0,0
D00010__F00104,D00010,Melatonin,F00104,Meal,Food,1,1,Negative,1,Use caution,Dietary Effect-Package Insert,1,1,0,0
D00010__F00210,D00010,Melatonin,F00210,Lemon,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__F00242,D00010,Melatonin,F00242,Coriander,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__F00251,D00010,Melatonin,F00251,Kiwi,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__F00253,D00010,Melatonin,F00253,Leaf of Chinese Holly,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__F00255,D00010,Melatonin,F00255,Asian pear,Food,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00001,D00010,Melatonin,H00001,Acacia nilotica,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00005,D00010,Melatonin,H00005,Ardisiae japonicae,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00007,D00010,Melatonin,H00007,Folium Artemisiae Argyi,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00015,D00010,Melatonin,H00015,Fructus Anisi Stellati,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00016,D00010,Melatonin,H00016,Dysosmae Verspiellis Rhixoma Et Radix,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00020,D00010,Melatonin,H00020,Semen Lablab Album,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00025,D00010,Melatonin,H00025,Semen Ginkgo,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00033,D00010,Melatonin,H00033,Herba Hedyotis Diffusae,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00036,D00010,Melatonin,H00036,Herba Patriniae,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00040,D00010,Melatonin,H00040,Radix Ampelopsis,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00043,D00010,Melatonin,H00043,coffee,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00053,D00010,Melatonin,H00053,Dictamni Cortex,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00058,D00010,Melatonin,H00058,coffee,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00059,D00010,Melatonin,H00059,Herba Lobeliae Chinensis,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00060,D00010,Melatonin,H00060,Radix Isatidis seu Baphicacanthi,Herb,1,1,Possible,1,Use caution,HFDI,1,1,0,0
D00010__H00063,D00010,Melatonin,H00063,coffee,Herb,2,1,Possible,1,Use caution,HFDI,2,2,0,0
