pair_key,Drug_ID,Drug_Name,drug_name_norm,Food_Herb_ID,Food_Herb_Name,food_herb_name_norm,Type,type_norm,Component,Dose,Time,Relationship_classification,relationship_sources,Experimental_Species,Experimental_Design,Experimental_Individuals_Number,Test_Method,Test_Sample,Potential_Target,Target_ID,has_pmid,has_doi,has_result_text,has_conclusion_text,has_reference,evidence_row_count,n_effects,n_paper_labels,pmid_count,doi_count,has_effect_conflict,has_label_conflict,paper_label,drug_item_text,label_id
D00774__H00040,D00774,Rosuvastatin,rosuvastatin,H00040,Radix Ampelopsis,radix ampelopsis,Herb,herb,Berberine,10-50μM,,HFDI,HFDI,Homo Sapiens,HepG2 cells,,Real-Time PCR; Western Blot Analysis; LC-MS/MS; Dual Luciferase Assay; RNA Interference,Cell,LXRα; FXR; OATP1B1,Q13133; P51114; Q9Y6L6,1,1,1,1,1,3,1,1,3,3,0,0,Use caution,rosuvastatin [SEP] radix ampelopsis [SEP] herb,1
D01217__H00293,D01217,Warfarin,warfarin,H00293,flos puerariae lobatae,flos puerariae lobatae,Herb,herb,Quercetin,12.75 mg/kg,"Once a day ,keep 5 days",HFDI,HFDI,Rat,,8/group,HPLC,Plasma,CYP2C8; CYP2C9; CYP3A4,P10632; P11712; P08684,1,1,1,1,1,4,1,1,4,4,0,0,Use caution,warfarin [SEP] flos puerariae lobatae [SEP] herb,1
D01217__H00575,D01217,Warfarin,warfarin,H00575,Fructus Viticis,fructus viticis,Herb,herb,Quercetin,12.75 mg/kg,"Once a day ,keep 5 days",HFDI,HFDI,Rat,,8/group,HPLC,Plasma,CYP2C8; CYP2C9; CYP3A4,P10632; P11712; P08684,1,1,1,1,1,3,1,1,3,3,0,0,Use caution,warfarin [SEP] fructus viticis [SEP] herb,1
D01455__H00876,D01455,Sodium Feredetate,sodium feredetate,H00876,Fructus Evodiae,fructus evodiae,Herb,herb,Caffeine,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,sodium feredetate [SEP] fructus evodiae [SEP] herb,1
D00376__F00109,D00376,Triethylenetetramine,triethylenetetramine,F00109,Iron,iron,Food,food,Iron,,,FDI-Package Insert,FDI-Package Insert,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,triethylenetetramine [SEP] iron [SEP] food,1
D00229__F00104,D00229,Mesoridazine,mesoridazine,F00104,Meal,meal,Food,food,,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,No known interaction in selected source,mesoridazine [SEP] meal [SEP] food,2
D00299__H00957,D00299,Pioglitazone,pioglitazone,H00957,Chrysanthemum indicum,chrysanthemum indicum,Herb,herb,Quercetin,10 mg/kg,,HFDI,HFDI,Rat,,4/group,HPLC,Plasma,CYP3A,P08684,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,pioglitazone [SEP] chrysanthemum indicum [SEP] herb,1
D00240__H00926,D00240,Metoprolol,metoprolol,H00926,Bulbus Allii Macrostemi,bulbus allii macrostemi,Herb,herb,Naringenin,"25, 50, 100 mg/kg",Administration after 15 days of pretreatment,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A4; CYP2C9; CYP2D6,P08684; P11712; P10635,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,metoprolol [SEP] bulbus allii macrostemi [SEP] herb,1
D00542__H00721,D00542,Paclitaxel,paclitaxel,H00721,Rhododendron lingii,rhododendron lingii,Herb,herb,Quercetin,"2, 10, 20 mg/kg",,HFDI,HFDI,Rat,,8/group,HPLC,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,paclitaxel [SEP] rhododendron lingii [SEP] herb,1
D01217__H00168,D01217,Warfarin,warfarin,H00168,Radix euphorbiae pekinensis,radix euphorbiae pekinensis,Herb,herb,Ellagic Acid,40 mg/kg,"Once a day ,keep 5 days",HFDI,HFDI,Rat,,8/group,HPLC,Plasma,CYP2C8; CYP2C9; CYP3A4,P10632; P11712; P08684,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,warfarin [SEP] radix euphorbiae pekinensis [SEP] herb,1
D00010__H00471,D00010,Melatonin,melatonin,H00471,coffee,coffee,Herb,herb,Caffeic Acid,15 mg/kg,Before dose,HFDI,HFDI,Rat,,6/group,LC-MS/MS,Plasma,CYP1A,Q53G23,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,melatonin [SEP] coffee [SEP] herb,1
D00918__H00732,D00918,Spirapril,spirapril,H00732,Ootheca Mantidis,ootheca mantidis,Herb,herb,Potassium,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,spirapril [SEP] ootheca mantidis [SEP] herb,1
D00542__H00511,D00542,Paclitaxel,paclitaxel,H00511,Herba ErodiiHerba Geranii,herba erodiiherba geranii,Herb,herb,Quercetin,"2, 10, 20 mg/kg",,HFDI,HFDI,Rat,,8/group,HPLC,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,paclitaxel [SEP] herba erodiiherba geranii [SEP] herb,1
D00970__F00105,D00970,Rifaximin,rifaximin,F00105,High-Fat Meal,high-fat meal,Food,food,,,30 minutes prior to dose,Dietary Effect-Package Insert,Dietary Effect-Package Insert,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,rifaximin [SEP] high-fat meal [SEP] food,1
D00829__H00369,D00829,Tamoxifen,tamoxifen,H00369,Flos Carthami,flos carthami,Herb,herb,Kaempferol,10 mg/kg,,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A; P-gp,P08684; Q2M3G0,1,1,1,1,1,4,1,1,4,4,0,0,Use caution,tamoxifen [SEP] flos carthami [SEP] herb,1
D00630__H00139,D00630,Talinolol,talinolol,H00139,Radix Cyathulae,radix cyathulae,Herb,herb,Genistein,1000 mg,Administration after 14 days of pretreatment,HFDI,HFDI,Homo Sapiens,Two-phase randomized crossover study,18,LC-MS,Plasma,CYP3A; P-gp,B2R9K2; Q2M3G0,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,talinolol [SEP] radix cyathulae [SEP] herb,1
D00589__H00760,D00589,Clopidogrel,clopidogrel,H00760,Fructus Corni,fructus corni,Herb,herb,Curcumin,"25 mg/kg, 50 mg/kg, and 100 mg/kg",,HFDI,HFDI,Rat,,,LC-MS/MS,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,clopidogrel [SEP] fructus corni [SEP] herb,1
D01046__H00538,D01046,Vortioxetine,vortioxetine,H00538,Solanum nigrum L.,solanum nigrum l,Herb,herb,Quercetin,30 mg/kg,,HFDI,HFDI,Rat,,6/group,,Plasma,,,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,vortioxetine [SEP] solanum nigrum l [SEP] herb,1
D01057__H00353,D01057,Apixaban,apixaban,H00353,Polygonum multiflorum,polygonum multiflorum,Herb,herb,,,,HFDI,HFDI,,,,,,CYP1A2; CYP2C9; CYP2C19; CYP3A4,P05177; P11712; P33261; P08684,1,1,1,1,1,1,1,1,1,1,0,0,Use caution,apixaban [SEP] polygonum multiflorum [SEP] herb,1
D01432__F00027,D01432,Parnaparin,parnaparin,F00027,Garlic,garlic,Food,food,,,,Drugbank,Drugbank,,,,,,,,0,0,1,1,1,1,1,1,1,1,0,0,Use caution,parnaparin [SEP] garlic [SEP] food,1
D00259__H00965,D00259,Nifedipine,nifedipine,H00965,Herba Leonuri,herba leonuri,Herb,herb,Kaempferol,"0.4, 2.0, 10.0 mg/kg",,HFDI,HFDI,Rat,,6/group,HPLC,Plasma,CYP3A4; P-gp,P08684; Q2M3G0,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,nifedipine [SEP] herba leonuri [SEP] herb,1
D00299__H00510,D00299,Pioglitazone,pioglitazone,H00510,Bidens tripartita,bidens tripartita,Herb,herb,Quercetin,10 mg/kg,,HFDI,HFDI,Rat,,4/group,HPLC,Plasma,CYP3A,P08684,1,1,1,1,1,2,1,1,2,2,0,0,Use caution,pioglitazone [SEP] bidens tripartita [SEP] herb,1
