FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00001,Acacia nilotica,Gum-arabic Tree,A LA BO JIAO JIN HE HUAN,阿拉伯胶金合欢,NA,NA,NA,NA,NA,NA,NA,NA,HERB000018,NA,NPO30143,138033,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,NA
H00002,Acacia arabica,Arabian Acacia,A LA BO JIN HE HUAN,阿拉伯金合欢,NA,NA,NA,NA,NA,NA,NA,NA,HERB000019,NA,NPO7352,658885,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,NA
H00004,Ferula assa-foetida,Asafetida Giantfennel Resin,A WEI,阿魏,Warm; Pungent; Bitter,Spleen; Stomach; Liver,balsam,"To transform concretion and disperse accumulation, kill worms, interrupt malaria.","Concretion and conglomeration, lump glomus, worm accumulation, meat-type food accumulation, cold pain in heart and abdomen, malaria, dysentery.",NA,Food digestion,消食,HERB000029,NA,NPO3083,52471,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Ferula,NA
H00005,Ardisiae japonicae,Japanese Ardisia Herb,AI DI CHA,矮地茶,Mild; Pungent; Bitter,Lung; Liver,NA,1. To eliminate phlegm and relieving cough.2. To promote diuresis to deprive dampness. 3. To activate blood circulation and stop bleeding.,"1. Bergenin, an active comonent, is an expectorant. 2. Its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro. 3. Its decoction inhibits the growth of Pneumococcus, Staphylococcus aureus and influenza virus in vitro.",NA,Antitussive Antiasthmetics,止咳平喘药,HERB000036,1,NPO28777,276775,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,NA
H00006,Ephedra minuta,Small Ephedra,AI MA HUANG,艾麻黄,NA,NA,herbaceous twigs,See Ephedra sinica.,See Ephedra sinica.,NA,NA,NA,HERB000049,NA,NPO18715,173279,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
H00007,Folium Artemisiae Argyi,leaf of Argy Wormwood,AI YE,艾叶,Warm; Pungent; Bitter,Spleen; Liver; Kidney,leaf,1. To warm the channels and stop bleeding. 2. To dispel cold and stop pain,"Cold pain in abdomen, menstrual disorder due to cold, infertility due to uterus cold, blood ejection, spontaneous external bleeding, flooding and spotting, fetal spotting, itchy skin.",NA,Channel-Warming Hemostatic,温经止血药,HERB000066,2,NA,259893,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,NA
H00008,Phyllanthus emblica,Emblic Leafflower,AN MO LE,庵摩勒,NA,NA,fruit,"To relieve cough and transform phlegm, engender liquid and allay thirst, resolve toxin.","Common cold with fever, cough, throat pain, diphtheria, enteritis, diarrhea, eczema, heat vexation and thirst.",NA,NA,NA,HERB000087,NA,NPO28450,296036,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Phyllanthaceae,Phyllanthus,NA
H00009,Benzoinum,Benzoin,AN XI XIANG,安息香,Mild; Pungent; Bitter,Spleen; Heart,balsam,To restore consciousness. To activate the flow of qi and blood. To relieve pain.,"Sudden stroke and fulminant reversal, pain in heart and abdomen, postpartum blood dizziness, child fright epilepsy, wind impediment and lumbago.",NA,Resuscitative Stimulant; Resuscitative Medicinal,开窍药,HERB000090,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00010,Eucalyptus globulus,Eucalyptus Oil,AN YOU,按油,NA,NA,Eucalyptus globulus Labill.;Cinnamomum camphora (L.) Sieb.,Skin irritant. Used in nerval pain.,Skin irritant. Used in nerval pain.,NA,NA,NA,HERB000092,NA,NPO3730,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00011,Magnolia biloba,Twolobed Officinal Mangolia,AO YE HOU PO,凹叶厚朴,NA,NA,bark,See Magnolia officinalis .,See Magnolia officinalis.,NA,NA,NA,HERB000117,NA,NPO17566,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00012,Croton tiglium L.,Fructus Crotonis,BA DOU,巴豆,Hot; Pungent,Large Intestine; Stomach,Dried seed,1. To drain accumulated cold downward; 2. To transform water and reduce edema; 3. To resolve phlegm and benefit throat,"Distention fullness and sudden pain in chest and a bdomen, fecal stoppage, diarrhea and dysentery, edema and enlarged abdomen, phlegm-rheum asthma fullness, throat wind, throat impediment, concretion and conglomeration, welling abscess and flat abscess, malign sore and scab lichen.",Extremely Toxic,Offensive Purgative Medicinal,攻下药,HERB000129,6,NA,497687,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,NA
H00013,Radix Morindae officinalis,root of Morinda officinalis,BA JI,巴戟,Minor Warm; Pungent; Sweet,Kidney,Morinda officinalis How,"1. Treatment of deficient kidney yang manifested as soreness and weakness in the lower back and knees, impotence, premature ejaculation, infertility, frigidity, irregular menstruation, and cold sensation and pain in the lower abdomen. a) Morinda root (Bajitian) is used with Ginseng (Renshen), Cistanche (Roucongrong) and Dadder seed (Tusizi) for impotence, premature ejaculation and infertility, b) Morinda root (Bajitian) is used with Teasel root (Xuduan) and Eucommia bark (Duzhong) for soreness and weakness in lower back and knees, c) Morinda root (Bajitian) is used with Cinnamon bark (Rougui), Galangal rhizome (Gaoliangjiang) and Evodia fruit (Wuzhuyu) for irregular menstruation. 2. Morinda root (Bajitian) is used with Teasel root (Xuduan), Mulberry mistletoe (Sangjisheng) and Hypoglauca yam (Bixie) for cold sensation and pain in the lumbar region and knees or motor impairment.","Treatment of impotence, seminal emission, infertility menstrual disorders, pain and cold feeling in the lower abdomen; rheumatic arthralgia; limpness of the legs.",NA,For tonifying weakness,补虚,HERB000133,NA,NA,266091,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Gynochthodes,NA
H00014,NA,Morindae Officilis Radix,BA JI TIAN,巴戟天,NA,NA,root,NA,"Neurasthenia, impotence and emission, cold pain in abdomen, urinary incontinence, vacuity cold of uterus, wind-cold-damp impediment, aching in lumbus and knees.",NA,Yang Reinforcing Drugs,补阳药,HERB000134,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00015,Fructus Anisi Stellati,Chinese Star Anise,BA JIAO HUI XIANG,八角茴香,Warm; Pungent,Spleen; Stomach; Liver; Kidney,NA,To dispel cold to regulate the flow of qi and to relieve pain.,"Treatment of abdominal colic, lumbago due to deficiency of the kidney, vomiting and eqigastric pain due to cold of the stomach.",NA,Warming Interior Drugs,温里药,HERB000137,4,NPO1983,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00016,Dysosma versipellis,Dysosmae Verspiellis Rhixoma Et Radix,BA JIAO LIAN,八角莲,NA,NA,NA,NA,NA,NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB000139,5,NPO17807,93611,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Berberidaceae,Dysosma,NA
H00017,Ilex paraguariensis,Paraguay Tea,BA LA GUI CHA,巴拉圭茶,NA,NA,leaf,"To clear heat and resolve toxin, eliminate inflammation, suppress cough and dispel phlegm, promote contraction, disinhibit urine, free stool, induce sweat[5509].","Rheumatis, scurvy, heart disease, stomach disease, diabetes[5509].",NA,NA,NA,HERB000140,NA,NPO26571,185542,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
H00018,Paullinia cupana,Guarana,BA XI XIANG WU HUAN ZI,巴西香无患子,NA,NA,NA,NA,NA,NA,NA,NA,HERB000152,NA,NPO21254,392747,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Paullinia,NA
H00019,Galium aparine,Catchweed Bedstraw,BA XIAN CAO,八仙草,NA,NA,herb,"To clear damp heat, dissipate stasis, disperse swelling, resolve toxin.","Strangury-turbidity, hematuria, knocks and falls, intestinal welling abscess, swollen boil, otitis media.",NA,NA,NA,HERB000156,NA,NPO15788,29788,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,NA
H00020,Semen Lablab Album,White Hyacinth Bean,BAI BIAN DOU,白扁豆,Minor Warm; Sweet,Spleen; Stomach,NA,"To invigorate the spleen and remove damp, paticularly the summer damp.Semen Lablab Album (stir-fried) To invigorate the spleen and remove damp.","Treatment of weakness of the spleen and stomach with loss of appetite and loose bowels, excessive leukorrhea, vomiting, diarrhea, distress in the chest and distension in the abdomen caused by summer-damp.Semen Lablab Album (stir-fried) Diarrhea and excess",NA,Qi Reinforcing Drugs,补气药,HERB000161,9,NPO11009,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00021,Acorus calamus,Drug Sweetflag,BAI CHANG,白鲳,NA,NA,rhizome,"To transform phlegm and open orifices, dispel damp and fortify stomach, kill worms and relieve itch.","Stupor due to phlegm reversal, wind stroke, epilepsy, fright palpitation and amnesia, tinnitus and deafness, food accumulation abdominal pain, diarrhea and dysentery, wind-damp pain, eczema, scab sore.",NA,NA,NA,HERB000164,NA,NPO25682,4465,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Acorales,Acoraceae,Acorus,NA
H00022,Nitraria tangutorum,Nitraria,BAI CI,白刺,NA,NA,fruit,"To fortify spleen and assisting movement, promote lactation, quiet spirit.","Reduced food intake due to spleen vacuity, indigestion, scant breast milk, neurasthenia.",NA,NA,NA,HERB000166,NA,NPO13459,357929,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Nitrariaceae,Nitraria,NA
H00023,Sophora viciifolia,Vetchleaf Sophora,BAI CI HUA,白刺花,NA,NA,root,"To clear heat and disinhibit throat, cool blood and disperse swelling.","Swelling pain in throat, cough, hepatitis, dysentery, strangury syndrome, edema, hematuria, nosebleed(epistaxis), hematochezia.",NA,NA,NA,HERB000168,NA,NPO26788,1196212,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Sophora,NA
