TTD_ID,Target_ID,Target_Name,Highest_status,MOA(Mechanisms of Action),FHDI_Drug_ID
D0N0TZ,T46937,P2Y purinoceptor 12 (P2RY12),Approved,Antagonist,D00589
D0TR5X,T27812,Serotonin transporter (SERT),Approved,Modulator,D00160
D06OIV,T02777,ATP-binding cassette transporter C9 (ABCC9),Approved,Blocker,D00370
D06OIV,T91480,ATP-binding cassette transporter C8 (ABCC8),Approved,Blocker,D00370
D0U2OO,T78709,5-HT 1A receptor (HTR1A),Approved,Agonist,D00065
D0A1DH,T84316,Voltage-gated calcium channel alpha-2/delta-1 (CACNA2D1),Approved,Blocker,D00265
D0A2ZX,T49814,Bacterial Deoxyribonucleic acid (Bact DNA),Approved,Modulator,D00241
D05ULR,T94879,HUMAN phosphodiesterase type 5 (PDE5),Phase 3 Trial,Inhibitor,D01334
D0WI3T,T56915,Human immunodeficiency virus Protease (HIV PR),Approved,Inhibitor,D00756
D0E3OF,T11843,Vitamin K epoxide reductase complex 1 (VKORC1),Approved,Inhibitor,D01217
D0D7LA,T08922,Acetyl-CoA carboxylase 2 (ACACB),Approved,Activator,D00230
D0D7LA,T39676,Solute carrier family 47 member 1 (SLC47A1),Approved,Modulator,D00230
D0F8RA,T25663,Adenosine receptor (ADOR),Approved,Antagonist,D00032
D0U6LM,T75440,Translocator protein (TSPO),Approved,Modulator,D00245
D0A1PX,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Modulator,D00162
D0H0ND,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00572
D0M9BW,T40800,Sodium pump subunit alpha-1 (ATP1A1),Approved,Binder,D00635
D01KPV,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00149
D0SH3I,T57361,Kallikrein-related peptidase (KLK),Approved,Inhibitor,D00751
D0SH3I,T27602,Cationic trypsinogen (PRSS1),Approved,Inhibitor,D00751
D0SH3I,T69707,Proteasome (PS),Approved,Modulator,D00751
D0EP0C,T72168,Mineralocorticoid receptor  (MR),Approved,Modulator,D00404
D0NS6H,T30082,Acetylcholinesterase (AChE),Approved,Modulator,D00128
D0LG8E,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00454
D0I5HF,T84631,Coagulation factor Xa (F10),Approved,Inhibitor,D01057
D0NJ5H,T31391,Dipeptidyl peptidase 4 (DPP-4),Approved,Inhibitor,D01082
D07HGR,T82577,Angiotensin-converting enzyme (ACE),Approved,Inhibitor,D00936
D09KTS,T25005,Tyrosine-protein kinase BTK (ATK),Approved,Inhibitor,D01138
D0Z5IU,T26623,Aldose reductase (AKR1B1),Approved,Inhibitor,D00822
D0JE2E,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00774
D0JE2E,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D01381
D07KSG,T89534,Estrogen receptor (ESR),Approved,Antagonist,D00829
D0B7EB,T96144,DNA topoisomerase II (TOP2),Approved,Modulator,D00543
D06ABF,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00211
D0DD0K,T74456,Angiotensin II receptor type-1 (AGTR1),Approved,Antagonist,D00213
D0Q2PE,T22348,Bacterial DNA gyrase (Bact gyrase),Approved,Modulator,D00267
D0O5WP,T43189,Tubulin (TUB),Approved,Inhibitor,D00700
D04OSE,T82266,Voltage-gated L-type calcium channel (L-CaC),Approved,Modulator,D00259
D0K3QS,T75243,Serine/threonine-protein kinase mTOR (mTOR),Approved,Inhibitor,D00972
D08RBC,T27812,Serotonin transporter (SERT),Approved,Inhibitor,D00699
D0Y3TM,T49493,Hemoglobin (HB),Approved,Activator,D00507
D0GY5Z,T03403,Prostaglandin G/H synthase (COX),Approved,Inhibitor,D00043
D0GY5Z,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00043
D0WN0U,T45993,Calcium channel unspecific (CaC),Approved,Blocker,D00142
D07MVK,T39610,Calmodulin (CALM),Approved,Modulator,D00544
D01TSI,T81183,Adrenergic receptor Alpha-1 (ADRA1),Approved,Agonist,D00447
D08HVR,T67162,Dopamine D2 receptor (D2R),Approved,Modulator,D00420
D06RGG,T79591,Thyroid hormone receptor alpha (THRA),Approved,Antagonist,D00403
D0U5QK,T03403,Prostaglandin G/H synthase (COX),Approved,Inhibitor,D00019
D0U5QK,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00019
D0U5QK,T27812,Serotonin transporter (SERT),Approved,Inhibitor,D00019
D03OFF,T58921,Peroxisome proliferator-activated receptor gamma (PPAR-gamma),Approved,Agonist,D00299
D07VLY,T48945,TERT messenger RNA (TERT mRNA),Approved,NA,D00531
D07VLY,T96144,DNA topoisomerase II (TOP2),Approved,Modulator,D00531
D03SKD,T58992,Opioid receptor delta (OPRD1),Approved,Agonist,D00907
D03SKD,T47768,Opioid receptor mu (MOP),Approved,Modulator,D00907
D04YZL,T31424,Adrenergic receptor Alpha-2 (ADRA2),Approved,Agonist,D00341
D0U4CE,T23499,Endothelin A receptor (EDNRA),Approved,Modulator,D00666
D0U4CE,T92828,Endothelin B receptor (EDNRB),Approved,Modulator,D00666
D0Y4QG,T52771,Mycobacterium Proton pump (MycB Prop),Approved,Modulator,D00940
D09GRX,T14597,Erbb2 tyrosine kinase receptor (HER2),Approved,Inhibitor,D01198
D03VPC,T88975,Phosphodiesterase 3A (PDE3A),Approved,Inhibitor,D00091
D03VPC,T33754,Phosphodiesterase 3 (PDE3),Approved,Modulator,D00091
D05BMG,T99524,Trace amine-associated receptor-1 (TAAR1),Approved,Modulator,D00114
D02TLO,T86836,Human Deoxyribonucleic acid (hDNA),Approved,Modulator,D00191
D08ZEB,T39078,Calcium-activated potassium channel (KCN),Approved,Activator,D00090
D0OB1J,T84316,Voltage-gated calcium channel alpha-2/delta-1 (CACNA2D1),Approved,Blocker,D00551
D01XNB,T92687,Gastric H(+)/K(+) ATPase (Proton pump),Approved,Modulator,D00271
D0TD1R,T16156,Thrombopoietin receptor (MPL),Approved,Agonist,D01192
D06OMK,T25464,Calcineurin (PPP3CA),Approved,Inhibitor,D00770
D0R1QE,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Inhibitor,D00187
D0R1QE,T00884,C-X-C chemokine receptor type 1 (CXCR1),Approved,Inhibitor,D00187
D0R1QE,T56923,C-X-C chemokine receptor type 2 (CXCR2),Approved,Inhibitor,D00187
D0R1QE,T22658,Interleukin-8 (IL8),Approved,Inhibitor,D00187
D0W9MM,T28661,Tubulin beta-2 chain (TUBB2),Approved,Inhibitor,D00481
D0O8SJ,T99989,Casein kinase I epsilon (CSNK1E),Approved,Inhibitor,D01282
D0O8SJ,T67849,PI3-kinase delta (PIK3CD),Approved,Inhibitor,D01282
D01UXC,T44068,Adrenergic receptor beta-1 (ADRB1),Approved,Antagonist,D00045
D0C1SF,T71484,Fungal Microtubule (Fung MicroTU),Approved,Inducer,D00754
D0R1RS,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Modulator,D00194
D0R1RS,T66665,Prostaglandin G/H synthase 2 (COX-2),Approved,Modulator,D01370
D0O1WX,T34743,Bacterial Penicillin binding protein (Bact PBP),Approved,Inhibitor,D00093
D0O1WX,T52227,Candida Thymidylate synthase (Candi TMP1),Approved,Inhibitor,D00093
D0O1WX,T22348,Bacterial DNA gyrase (Bact gyrase),Approved,Modulator,D00093
D0O1WX,T40696,Staphylococcus Topoisomerase IV (Stap-coc parC),Approved,Modulator,D00093
D02OZE,T03917,Sodium/potassium-transporting ATPase (SPT ATPase),Approved,Inhibitor,D00828
D02OZE,T36053,Organic anion transporter M1 (SLCO4C1),Approved,Modulator,D00828
D0O6IU,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00419
D0XN1F,T45993,Calcium channel unspecific (CaC),Approved,Blocker,D00262
D0L9GG,T75440,Translocator protein (TSPO),Approved,Agonist,D00027
D07JVL,T75440,Translocator protein (TSPO),Approved,Agonist,D00115
D06WTZ,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00571
D0R0MW,T80975,Vascular endothelial growth factor receptor 2 (KDR),Approved,Modulator,D00926
D0G5QB,T47768,Opioid receptor mu (MOP),Approved,Agonist,D00568
D0U3LS,T75440,Translocator protein (TSPO),Approved,Modulator,D00375
D03NPH,T75440,Translocator protein (TSPO),Approved,Modulator,D00328
D0E4DW,T29303,Sodium channel unspecific (NaC),Approved,Blocker,D00016
D0Z1RV,T24983,Dopamine D4 receptor (D4R),Approved,Modulator,D01328
D03HFG,T27812,Serotonin transporter (SERT),Approved,Inhibitor,D00924
D0D1AL,T67162,Dopamine D2 receptor (D2R),Approved,Antagonist,D00178
D0K0TC,T27812,Serotonin transporter (SERT),Approved,Inhibitor,D00627
D0E1WI,T47768,Opioid receptor mu (MOP),Approved,Modulator,D00148
D09OJQ,T23547,Opioid receptor (OPR),Approved,Agonist,D00231
D0Z1ZM,T53601,Bacterial 50S ribosomal RNA (Bact 50S rRNA),Approved,Binder,D00656
D02YIZ,T53601,Bacterial 50S ribosomal RNA (Bact 50S rRNA),Approved,Binder,D00478
D09HNR,T53601,Bacterial 50S ribosomal RNA (Bact 50S rRNA),Approved,Binder,D00837
D03DDR,T12819,E3 ubiquitin-protein ligase COP1 (RFWD2),Approved,Modulator,D00845
D03DDR,T12819,E3 ubiquitin-protein ligase COP1 (RFWD2),Approved,Modulator,D01382
D0T1LK,T20089,Plasmodium Deoxyribonucleic acid (Malaria DNA),Approved,NA,D00310
D0L9ZR,T19433,Glutathione-dependent PGD synthase (HPGDS),Approved,Inhibitor,D00307
D0A0OO,T56915,Human immunodeficiency virus Protease (HIV PR),Approved,Inhibitor,D00618
D0V7CF,T56915,Human immunodeficiency virus Protease (HIV PR),Approved,Inhibitor,D00939
D0V4IB,T73726,Candida Cytochrome P450 51 (Candi ERG11),Approved,Modulator,D00579
D0V4IB,T69189,Hedgehog signaling pathway (HS pathway),Approved,Inhibitor,D00579
D0HD9K,T44068,Adrenergic receptor beta-1 (ADRB1),Approved,Antagonist,D00018
D08JIV,T84316,Voltage-gated calcium channel alpha-2/delta-1 (CACNA2D1),Approved,Blocker,D00036
D0T0KA,T45993,Calcium channel unspecific (CaC),Approved,Blocker,D00258
D0S5CU,T45993,Calcium channel unspecific (CaC),Approved,Blocker,D00263
D0R0FE,T64795,Voltage-gated calcium channel alpha Cav3.1 (CACNA1G),Approved,Blocker,D00070
D0L5WM,T67952,Potassium channel unspecific (KC),Approved,Modulator,D00033
D01QIN,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00597
D02RQU,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00574
D03SVX,T61622,Angiotensinogenase renin (REN),Approved,Inhibitor,D00954
D0IL7L,T40016,Glucocorticoid receptor (NR3C1),Approved,Agonist,D00407
D0N5YA,T91480,ATP-binding cassette transporter C8 (ABCC8),Approved,Blocker,D00624
D0N5YA,T02777,ATP-binding cassette transporter C9 (ABCC9),Approved,Blocker,D00624
D05LYX,T91480,ATP-binding cassette transporter C8 (ABCC8),Approved,Modulator,D00174
D05LYX,T91480,ATP-binding cassette transporter C8 (ABCC8),Approved,Modulator,D01369
D00STL,T38284,Fusion protein Bcr-Abl (Bcr-Abl),Approved,Modulator,D00808
D0Y7IU,T40016,Glucocorticoid receptor (NR3C1),Approved,Antagonist,D00867
D08QMX,T89534,Estrogen receptor (ESR),Approved,Agonist,D00400
D08PIQ,T40016,Glucocorticoid receptor (NR3C1),Approved,Modulator,D00440
D01GBY,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00684
D08SOF,T77913,Histamine H1 receptor (H1R),Withdrawn from market,Antagonist,D00358
D0B3HD,T92072,Adenosine A1 receptor (ADORA1),Approved,Antagonist,D00069
D0B3HD,T77365,Adenosine A2a receptor (ADORA2A),Approved,Antagonist,D00069
D0BD8D,T59679,5-HT 4 receptor (HTR4),Approved,Agonist,D00984
D00QET,T71192,Leukotriene CysLT1 receptor (CYSLTR1),Approved,Antagonist,D00870
D0B7YT,T09130,Muscarinic acetylcholine receptor (CHRM),Approved,Antagonist,D00832
D0S5UH,T49814,Bacterial Deoxyribonucleic acid (Bact DNA),Approved,Modulator,D00097
D02RSN,T22348,Bacterial DNA gyrase (Bact gyrase),Approved,Modulator,D00703
D02RSN,T40696,Staphylococcus Topoisomerase IV (Stap-coc parC),Approved,Modulator,D00703
D0O2IE,T60529,Prostaglandin G/H synthase 1 (COX-1),Withdrawn from market,Inhibitor,D00291
D0O2IE,T40111,Inosine-5'-monophosphate dehydrogenase 1 (IMPDH1),Withdrawn from market,Inhibitor,D00291
D08GHB,T53585,HMG-CoA reductase (HMGCR),Approved,Inhibitor,D00772
D08GJH,T67162,Dopamine D2 receptor (D2R),Phase 3,Antagonist,D00687
D08GJH,T32060,5-HT 2A receptor (HTR2A),Phase 3,Antagonist,D00687
D08NQZ,T72657,Staphylococcus 30S ribosomal subunit (Stap-coc pbp2),Approved,Binder,D01209
D0U4UQ,T82577,Angiotensin-converting enzyme (ACE),Approved,Modulator,D00181
D09DHY,T43189,Tubulin (TUB),Approved,Binder,D00428
D0AZ3C,T38284,Fusion protein Bcr-Abl (Bcr-Abl),Approved,Inhibitor,D00345
D0AZ3C,T52624,Platelet-derived growth factor receptor (PDGFR),Approved,Inhibitor,D00345
D0AZ3C,T57700,Tyrosine-protein kinase Kit (KIT),Approved,Inhibitor,D00345
D0AZ3C,T33765,Mcl-1 messenger RNA (MCL-1 mRNA),Approved,NA,D00345
D00EQL,T25265,Enhancer of zeste homolog 2 (EZH2),Approved,Inhibitor,D01250
D0E6XR,T85943,Proto-oncogene c-Src (SRC),Approved,Inhibitor,D00850
D0E6XR,T38284,Fusion protein Bcr-Abl (Bcr-Abl),Approved,Inhibitor,D00850
D0E6XR,T12499,LCK tyrosine protein kinase (LCK),Approved,Inhibitor,D00850
D0E6XR,T17980,Fyn tyrosine protein kinase (FYN),Approved,Inhibitor,D00850
D0P1UX,T27812,Serotonin transporter (SERT),Approved,Inhibitor,D00387
D0P1UX,T21945,Norepinephrine transporter (NET),Approved,Inhibitor,D00387
D03FLC,T34123,Voltage-gated sodium channel alpha Nav1.9 (SCN11A),Approved,Blocker,D00207
D07POC,T59328,Epidermal growth factor receptor (EGFR),Approved,Inhibitor,D00728
D0H7KF,T67162,Dopamine D2 receptor (D2R),Approved,Agonist,D00329
D06GDY,T27812,Serotonin transporter (SERT),Approved,Modulator,D00560
D00YZD,T39087,Human immunodeficiency virus Integrase (HIV IN),Approved,Modulator,D01228
D03ZMQ,T43920,Carbonic anhydrase (CA),Investigative,Inhibitor,D00004
D03ZMQ,T53378,Carbonic anhydrase IV (CA-IV),Investigative,Inhibitor,D00004
D03ZMQ,T13201,Carbonic anhydrase I (CA-I),Investigative,Inhibitor,D00004
D03ZMQ,T06569,Carbonic anhydrase VI (CA-VI),Investigative,Inhibitor,D00004
D03ZMQ,T64567,Carbonic anhydrase IX (CA-IX),Investigative,Inhibitor,D00004
D03ZMQ,T31992,Carbonic anhydrase XIV (CA-XIV),Investigative,Inhibitor,D00004
D03ZMQ,T20401,Carbonic anhydrase II (CA-II),Investigative,Inhibitor,D00004
D03ZMQ,T16987,Carbonic anhydrase XII (CA-XII),Investigative,Inhibitor,D00004
D07QPA,T94033,Coagulation factor IIa (F2),Investigative,Cofactor,D00864
D07SUG,T86836,Human Deoxyribonucleic acid (hDNA),Approved,Modulator,D00066
D03SKR,T31424,Adrenergic receptor Alpha-2 (ADRA2),Approved,Agonist,D00102
D03SKR,T69619,Membrane copper amine oxidase (AOC3),Approved,Inhibitor,D00102
D0U5GB,T88338,Bacterial 23S ribosomal RNA (Bact 23S rRNA),Approved,Modulator,D00662
D09XQF,T79068,Bacterial Fatty acid synthetase I (Bact inhA),Approved,Inhibitor,D00200
D0SV8E,T19229,Proton-coupled folate transporter (SLC46A1),Approved,Modulator,D00688
D0SV8E,T35465,Solute carrier family 19 member 1 (SLC19A1),Approved,Modulator,D00688
D0S1CQ,T87023,Platelet-activating factor receptor (PTAFR),Phase 4,Inhibitor,D00696
D0S1CQ,T77913,Histamine H1 receptor (H1R),Phase 4,Inhibitor,D00696
D06MAJ,T77913,Histamine H1 receptor (H1R),Approved,Antagonist,D00623
D0N3VR,T73726,Candida Cytochrome P450 51 (Candi ERG11),Approved,Modulator,D00645
D07HOB,T09826,DNA topoisomerase I (TOP1),Approved,Modulator,D00600
D02WCI,T97257,Transforming growth factor beta 1 (TGFB1),Approved,Modulator,D00553
D03IGH,T56915,Human immunodeficiency virus Protease (HIV PR),Approved,Modulator,D00739
D0ZU9R,T56915,Human immunodeficiency virus Protease (HIV PR),Approved,Inhibitor,D00752
D0AN7B,T97613,Melatonin receptor type 1A (MTNR1A),Approved,Binder,D00010
D0AN7B,T75498,Quinone reductase 2 (NQO2),Approved,Inhibitor,D00010
D07IRF,T46937,P2Y purinoceptor 12 (P2RY12),Approved,Inhibitor,D00995
D0X5ZI,T23499,Endothelin A receptor (EDNRA),Approved,Antagonist,D00998
D05SHK,T44068,Adrenergic receptor beta-1 (ADRB1),Approved,Modulator,D00550
