pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name
D00291__H01018,D00291,Phenacetin,H01018,ZE XIE,Herb,Use caution,phenacetin [SEP] ze xie [SEP] herb,No known interaction in selected source,0.0022930946482554,0.8943574407915288,0.1033494645602157,Possible,Possible,Possible,"There was a statistically significant difference in the t1/2, Cmax, AUC(0-inf) and CL for phenacetin and midazolam.","Caution is needed when RA is co-administration with some CYP1A2 or CYP3A4 substrates in clinic, because it may result in treatment failure and herb-drug interactions.",24824320.0,Effects of Alismatis rhizome on rat cytochrome P450 enzymes,10.3109/13880209.2013.864685,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__H01038,D00597,Atorvastatin,H01038,Fructus Aurantii Immaturus,Herb,Use caution,atorvastatin [SEP] fructus aurantii immaturus [SEP] herb,No known interaction in selected source,0.0289446604317151,0.7145593218861515,0.2564960176821332,Possible,Possible,Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 strict-screening threshold 0.7
D00187__H01102,D00187,Ibuprofen,H01102,Ginkgo Biloba,Herb,Avoid,ibuprofen [SEP] ginkgo biloba [SEP] herb,No known interaction in selected source,0.012185103015513,0.9274909285625432,0.0603239684219437,Harmful,Harmful,Harmful,Already used 2 years and 6 months,"In the case of G. biloba extract, particular attention should be paid to the potentially increased risk of bleeding complications, especially when it is taken concomitantly with other drugs which interfere with the coagulation system.",12818420.0,Fatal intracerebral mass bleeding associated with Ginkgo biloba and ibuprofen,10.1016/s0021-9150(03)00015-7,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__F00105,D00597,Atorvastatin,F00105,High-Fat Meal,Food,Use caution,atorvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.0005957262533395,0.99842257067021,0.0009817030764503,Negative,Negative,Negative; No Effect,"Fed/fasting comparison : Tmax (h) = 2.53 (fasting = 1.38), Cmax(90%CI) = 68.1 (59.5-78.7), AUC0‐inf (90%CI) = 88.6 (83.4-94.9)",Take with or without food. Food decreases absorption but not to a clinically significant extent.,16988211.0,Effect of food on the bioavailability of amlodipine besylate/atorvastatin calcium combination tablet,10.1177/0091270006291097,Dietary effects,Dietary effects,2,2,1,1,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__H00182,D00597,Atorvastatin,H00182,DAN SHEN,Herb,Use caution,atorvastatin [SEP] dan shen [SEP] herb,No known interaction in selected source,0.0083611712193968,0.8177302684573978,0.1739085603232053,Possible,Possible,No Effect; Possible,"The results indicated that Cmax (23.87 ± 4.27 vs. 38.94 ± 5.32 ng/mL), AUC(0-t) (41.01 ± 11.32 vs. 77.28 ± 12.92 ng h/mL), and t1/2 (1.91 ± 0.18 vs. 2.74 ± 0.23 h) decreased significantly (p < 0.05) when DST and AC were co-administered, which suggested that DST might influence the pharmacokinetic behavior of AC when they are co-administered. The metabolic stability (t1/2) of AC was also decreased (25.7 ± 5.2 vs. 42.5 ± 6.1) with the pretreatment of DST.","This study indicated that the main components in DST could accelerate the metabolism of AC in rat liver microsomes and change the pharmacokinetic behaviors of AC. So these results showed that the herb-drug interaction between DST and AC might occur when they were co-administered. Therefore, the clinical dose of AC should be adjusted when DST and AC are co-administered.",29322864.0,Effects of Danshen tablets on pharmacokinetics of atorvastatin calcium in rats and its potential mechanism,10.1080/13880209.2018.1424209,HFDI,HFDI,3,2,1,1,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__H00329,D00597,Atorvastatin,H00329,Ramulus Euonymi,Herb,Use caution,atorvastatin [SEP] ramulus euonymi [SEP] herb,No known interaction in selected source,0.0089485978782977,0.7019552801378298,0.2890961219838723,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__H00325,D00597,Atorvastatin,H00325,Fructus Choerospondiatis,Herb,Use caution,atorvastatin [SEP] fructus choerospondiatis [SEP] herb,No known interaction in selected source,0.0183125227030176,0.8561789820942501,0.1255084952027322,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__H00162,D00597,Atorvastatin,H00162,Coffee,Herb,Use caution,atorvastatin [SEP] coffee [SEP] herb,No known interaction in selected source,0.018140911005987,0.8128951739229203,0.1689639150710925,Possible,Possible,Possible,"Infarct size was significantly reduced by ATV in the water + sugar (11.7 ± 0.7%, p = 0.015) and DC (11.5 ± 1.0%; p < 0.001) groups, but not in the CC group (32.3 ± 3.0%; p = 0.719). ATV increased myocardial levels of Ser-473 phosphorylated Akt in the water + sugar and DC groups, but not in the CC group.","Caffeinated coffee, but not decaffeinated coffee, abrogated the IS-limiting effects of ATV by blocking the adenosine receptors and preventing the phosphorylation of Akt.",18327703.0,Caffeinated coffee blunts the myocardial protective effects of statins against ischemia-reperfusion injury in the rat,10.1007/s10557-008-6105-z,HFDI,HFDI,1,1,0,0,MedSafe-GATE v1 strict-screening threshold 0.7
D00597__H00567,D00597,Atorvastatin,H00567,Herba Ephedrae,Herb,Use caution,atorvastatin [SEP] herba ephedrae [SEP] herb,No known interaction in selected source,0.0148413442539433,0.7486908767417964,0.2364677790042602,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,MedSafe-GATE v1 strict-screening threshold 0.7
D01132__F00105,D01132,Vismodegib,F00105,High-Fat Meal,Food,Use caution,vismodegib [SEP] high-fat meal [SEP] food,No known interaction in selected source,0.0001140706157727,0.8455953968861433,0.1542905324980841,Positive,Positive,Positive,"Mean C(max) and AUC(0-168) after a single dose were higher in HF than FO patients [ratios of geometric means (90% CI) = 1.75 (1.30, 2.34) and 1.74 (1.25, 2.42), respectively].","A HF meal increases plasma exposure to a single dose of vismodegib, but there are no pharmacokinetic or safety differences between fasting and fed groups at steady-state. Vismodegib may be taken with or without food for daily dosing.",23553850.0,Evaluation of food effect on pharmacokinetics of vismodegib in advanced solid tumor patients,10.1158/1078-0432.CCR-12-3829,Dietary effects,Dietary effects,1,1,0,0,MedSafe-GATE v1 strict-screening threshold 0.7
